date,venue,location,setlist,gaps
1993-07-25,Waterloo Village,"Stanhope, NJ",Wilson | Foam | Mound | Stash | Fee | Rift | The Sloth | My Mind's Got a Mind of its Own | I Didn't Know | David Bowie | Donna Lee | David Bowie | Also Sprach Zarathustra | Suzy Greenberg | Tweezer | The Horse | Silent in the Morning | Maze | The Lizards | Big Ball Jam | Purple Rain | Hold Your Head Up | Harpua | Tweezer Reprise | Cavern,23 | 2 | 2 | 0 | 5 | 0 | 24 | 2 | 8 | 6 | 9 | 6 | 0 | 18 | 2 | 1 | 1 | 0 | 8 | 1 | 0 | 0 | 17 | 6 | 1
1993-07-27,Classic Amphitheater,"Richmond, VA",Also Sprach Zarathustra | Rift | Stash | The Squirming Coil | Sparkle | It's Ice | Purple Rain | Hold Your Head Up | You Enjoy Myself,0 | 0 | 0 | 1 | 1 | 2 | 0 | 0 | 2
1993-07-28,Grady Cole Center,"Charlotte, NC","All Things Reconsidered | Runaway Jim | Ya Mar | Sample in a Jar | Foam | Nellie Kane | Split Open and Melt | The Horse | Silent in the Morning | Poor Heart | Cavern | Also Sprach Zarathustra | Axilla | My Sweet One | Run Like an Antelope | The Lizards | Mound | My Friend, My Friend | Harry Hood | The Great Gig in the Sky | Hold Your Head Up | Chalk Dust Torture | Piano Duet | Bill Bailey, Won't You Please Come Home?",7 | 3 | 4 | 4 | 1 | 2 | 2 | 1 | 1 | 3 | 1 | 0 | 23 | 22 | 3 | 1 | 1 | 3 | 9 | 19 | 0 | 3 | -1 | 297
1993-07-29,Tennessee Theatre,"Knoxville, TN",Funky Bitch | Divided Sky | Weigh | Rift | The Landlady | Fast Enough for You | My Mind's Got a Mind of its Own | Colonel Forbin's Ascent | Fly Famous Mockingbird | Possum | Maze | Bouncing Around the Room | It's Ice | Lifeboy | Sparkle | You Enjoy Myself | Purple Rain | Hold Your Head Up | Daniel Saw the Stone | Good Times Bad Times | Rocky Top | Free Bird,34 | 3 | 22 | 1 | 9 | 8 | 2 | 23 | 23 | 5 | 2 | 3 | 1 | 11 | 1 | 1 | 1 | 0 | 3 | 3 | 5 | 3
1993-07-30,The Veranda at Starwood,"Antioch, TN","Contact | Llama | Horn | Uncle Pen | Stash | Esther | Chalk Dust Torture | I Didn't Know | Reba | Cavern | Also Sprach Zarathustra | Tweezer | The Horse | Silent in the Morning | Poor Heart | Fluffhead | My Friend, My Friend | Golgi Apparatus | The Squirming Coil | David Bowie | Walk Away | Amazing Grace",6 | 4 | 4 | 5 | 2 | 9 | 1 | 3 | 10 | 1 | 1 | 3 | 1 | 1 | 1 | 4 | 1 | 4 | 2 | 3 | 6 | 5
1993-07-31,Masquerade Music Park,"Atlanta, GA",Rift | Sample in a Jar | Ya Mar | Split Open and Melt | Mound | Foam | Nellie Kane | Divided Sky | Cavern | Wilson | Runaway Jim | It's Ice | Maze | Sparkle | Mike's Song | Leprechaun | Weekapaug Groove | Purple Rain | Hold Your Head Up | Daniel Saw the Stone | Highway to Hell | AC/DC Bag | Free Bird,1 | 2 | 2 | 2 | 2 | 2 | 2 | 1 | 0 | 4 | 2 | 1 | 1 | 1 | 5 | 11 | 5 | 1 | 1 | 1 | 6 | 21 | 1
1993-08-02,Ritz Theatre,"Tampa, FL",Chalk Dust Torture | Guelah Papyrus | Poor Heart | Brother | The Oh Kee Pa Ceremony | Suzy Greenberg | All Things Reconsidered | Bathtub Gin | Makisupa Policeman | My Mind's Got a Mind of its Own | Dog Log | La Grange | Also Sprach Zarathustra | Mike's Song | Sparks | The Ballad of Curtis Loew | Rift | The Squirming Coil | Weekapaug Groove | Hold Your Head Up | Bike | Hold Your Head Up | Run Like an Antelope | Makisupa Policeman | Run Like an Antelope | Sleeping Monkey | Amazing Grace,1 | 6 | 1 | 176 | 12 | 5 | 3 | 33 | 30 | 2 | 326 | 355 | 1 | 0 | 444 | 34 | 0 | 1 | 0 | 0 | 33 | 0 | 3 | 30 | 3 | 27 | 1
1993-08-03,Bayfront Park Amphitheater,"Miami, FL",Runaway Jim | Nellie Kane | Foam | Fee | Rift | Stash | The Horse | Silent in the Morning | Ya Mar | Llama | Cavern | Lengthwise | Maze | Bouncing Around the Room | It's Ice | You Enjoy Myself | The Lizards | Sparkle | Purple Rain | Hold Your Head Up | Golgi Apparatus | Poor Heart | Free Bird,1 | 1 | 1 | 6 | 0 | 2 | 2 | 2 | 1 | 2 | 1 | 20 | 1 | 3 | 1 | 3 | 4 | 1 | 1 | 0 | 2 | 0 | 1
1993-08-06,Cincinnati Zoo Peacock Pavilion,"Cincinnati, OH",Split Open and Melt | Poor Heart | The Curtain | Sample in a Jar | Rift | Horn | Divided Sky | Nellie Kane | Chalk Dust Torture | Suzy Greenberg | Buried Alive | Tweezer | Guelah Papyrus | The Squirming Coil | Uncle Pen | You Enjoy Myself | Cocaine | You Enjoy Myself | Halley's Comet | Slave to the Traffic Light | Hold Your Head Up | Cracklin' Rosie | Hold Your Head Up | Tweezer Reprise | Amazing Grace,2 | 0 | 28 | 2 | 0 | 3 | 2 | 0 | 1 | 1 | 9 | 3 | 1 | 1 | 3 | 0 | -1 | 0 | 30 | 282 | 0 | 26 | 0 | 7 | 1
1993-08-07,Darien Lake Performing Arts Center,"Darien Center, NY","Llama | Bouncing Around the Room | Poor Heart | Stash | Makisupa Policeman | Reba | Maze | Colonel Forbin's Ascent | Fly Famous Mockingbird | Cavern | Also Sprach Zarathustra | Mike's Song | Kung | Mike's Song | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Sloth | Sparkle | My Friend, My Friend | McGrupp and the Watchful Hosemasters | Purple Rain | Hold Your Head Up | Run Like an Antelope | Carolina | La Grange",1 | 1 | 0 | 1 | 2 | 4 | 1 | 5 | 5 | 1 | 2 | 2 | 25 | 2 | 11 | 11 | 8 | 1 | 4 | 29 | 1 | 0 | 2 | 31 | 2
1993-08-08,Nautica Stage,"Cleveland, OH",Big Black Furry Creature from Mars | Foam | Loving Cup | Runaway Jim | The Horse | Silent in the Morning | Punch You in the Eye | Fast Enough for You | Paul and Silas | I Didn't Know | David Bowie | Also Sprach Zarathustra | Rift | Harry Hood | Wilson | It's Ice | Fluffhead | Possum | Big Ball Jam | Hold Your Head Up | Love You | Hold Your Head Up | Daniel Saw the Stone | Good Times Bad Times | My Sweet One | Free Bird,11 | 2 | 58 | 2 | 2 | 2 | 11 | 6 | 12 | 5 | 5 | 0 | 1 | 7 | 4 | 2 | 5 | 6 | 9 | 0 | 30 | 0 | 4 | 6 | 7 | 2
1993-08-09,Concert Hall,"Toronto, Ontario, ","Chalk Dust Torture | Who Knows | Chalk Dust Torture | Mound | Fee | Split Open and Melt | Glide | Nellie Kane | Divided Sky | Memories | The Squirming Coil | Dinner and a Movie | Tweezer | Tela | My Friend, My Friend | My Mind's Got a Mind of its Own | You Enjoy Myself | Contact | Crimes of the Mind | Rocky Top",2 | 569 | 2 | 5 | 3 | 2 | 11 | 2 | 2 | 31 | 2 | 38 | 2 | 29 | 1 | 4 | 2 | 6 | 274 | 7
1993-08-11,Eastbrook Theatre,"Grand Rapids, MI","Buried Alive | Runaway Jim | Weigh | It's Ice | Ginseng Sullivan | My Friend, My Friend | The Mango Song | Stash | Sparkle | Cavern | Mike's Song | The Great Gig in the Sky | Weekapaug Groove | Esther | All Things Reconsidered | Bouncing Around the Room | Rift | Jesus Just Left Chicago | My Sweet One | Run Like an Antelope | Sweet Adeline | Bold As Love",3 | 1 | 8 | 1 | -1 | 0 | 12 | 2 | 2 | 2 | 2 | 9 | 5 | 7 | 5 | 2 | 1 | 55 | 1 | 2 | 30 | 49
1993-08-12,Meadow Brook Music Festival,"Rochester Hills, MI",AC/DC Bag | Reba | Chalk Dust Torture | Guelah Papyrus | Nellie Kane | Split Open and Melt | The Horse | Silent in the Morning | Poor Heart | The Squirming Coil | Also Sprach Zarathustra | The Landlady | Tweezer | The Landlady | Tweezer | The Lizards | The Sloth | Maze | Lawn Boy | Big Ball Jam | Golgi Apparatus | Possum | Fire | Free Bird,7 | 3 | 1 | 4 | 1 | 1 | 2 | 2 | 3 | 1 | 2 | 9 | 1 | 9 | 1 | 5 | 3 | 3 | 14 | 2 | 5 | 2 | 41 | 2
1993-08-13,Murat Theatre,"Indianapolis, IN",Lengthwise | Llama | Makisupa Policeman | Foam | Stash | Ginseng Sullivan | Fluffhead | My Mind's Got a Mind of its Own | Horn | David Bowie | Buried Alive | Rift | Bathtub Gin | Ya Mar | Mike's Song | Lifeboy | The Oh Kee Pa Ceremony | Suzy Greenberg | Amazing Grace | Highway to Hell,6 | 4 | 4 | 3 | 1 | 1 | 3 | 2 | 5 | 3 | 1 | 1 | 7 | 6 | 1 | 10 | 7 | 5 | 5 | 8
1993-08-14,World Music Theatre,"Tinley Park, IL",Chalk Dust Torture | Guelah Papyrus | Divided Sky | The Horse | Silent in the Morning | It's Ice | Sparkle | Split Open and Melt | Esther | Poor Heart | Cavern | Also Sprach Zarathustra | Run Like an Antelope | Sparks | Walk Away | Run Like an Antelope | Have Mercy | Run Like an Antelope | Mound | The Squirming Coil | Daniel Saw the Stone | You Enjoy Myself | Purple Rain | Hold Your Head Up | Golgi Apparatus | La Grange,1 | 1 | 3 | 1 | 1 | 2 | 2 | 1 | 2 | 1 | 2 | 1 | 2 | 8 | 10 | 2 | 31 | 2 | 3 | 1 | 4 | 3 | 5 | 4 | 1 | 5
1993-08-15,The Macauley Theater,"Louisville, KY",Sample in a Jar | All Things Reconsidered | Caravan | Runaway Jim | Fee | Paul and Silas | Stash | Colonel Forbin's Ascent | Fly Famous Mockingbird | Chalk Dust Torture | Rift | Tweezer | The Lizards | The Landlady | Bouncing Around the Room | Maze | Glide | Sweet Adeline | Ginseng Sullivan | Nellie Kane | Free Bird | Harry Hood | Tweezer Reprise,7 | 3 | 17 | 3 | 4 | 5 | 1 | 6 | 6 | 0 | 1 | 2 | 2 | 2 | 3 | 2 | 4 | 3 | 1 | 2 | 2 | 5 | 7
1993-08-16,American Theater,"St. Louis, MO","Axilla | Possum | Horn | Reba | Sparkle | Foam | I Didn't Know | Split Open and Melt | The Squirming Coil | Mike's Song | Faht | Weekapaug Groove | Mound | It's Ice | My Friend, My Friend | Poor Heart | Big Ball Jam | Take the 'A' Train | Good Times Bad Times | Amazing Grace | Rocky Top",14 | 3 | 2 | 3 | 1 | 2 | 6 | 1 | 1 | 2 | 18 | 4 | 1 | 1 | 4 | 1 | 3 | 28 | 6 | 2 | 5
1993-08-17,Memorial Hall,"Kansas City, KS",Wilson | Llama | Guelah Papyrus | Divided Sky | Weigh | Maze | Fluffhead | Fast Enough for You | Daniel Saw the Stone | Also Sprach Zarathustra | David Bowie | The Horse | Silent in the Morning | Rift | Suzy Greenberg | You Enjoy Myself | Purple Rain | Hold Your Head Up | My Sweet One | Cavern | Memories | Fire,7 | 3 | 2 | 2 | 5 | 1 | 3 | 7 | 2 | 2 | 3 | 2 | 2 | 1 | 3 | 2 | 2 | 2 | 5 | 2 | 6 | 4
1993-08-20,Red Rocks Amphitheatre,"Morrison, CO","Divided Sky | Harpua | Poor Heart | Maze | Bouncing Around the Room | It's Ice | The Wedge | Ginseng Sullivan | Rift | Run Like an Antelope | Also Sprach Zarathustra | Slave to the Traffic Light | Split Open and Melt | The Squirming Coil | My Friend, My Friend | Chalk Dust Torture | You Enjoy Myself | Purple Rain | Hold Your Head Up | Cavern | The Mango Song | Free Bird",0 | 18 | 1 | 0 | 2 | 1 | 71 | 2 | 0 | 3 | 0 | 10 | 1 | 1 | 1 | 2 | 0 | 0 | 0 | 0 | 6 | 2
1993-08-21,Saltair Pavilion,"Salt Lake City, UT",Buried Alive | Poor Heart | Foam | Guelah Papyrus | Rift | Stash | Sparkle | The Landlady | I Didn't Know | Runaway Jim | Possum | Horn | Uncle Pen | Fee | Llama | Lawn Boy | David Bowie | Mind Left Body Jam | David Bowie | Hold Your Head Up | If I Only Had a Brain | Hold Your Head Up | Jam | Harry Hood | Daniel Saw the Stone | Amazing Grace | Nellie Kane,5 | 0 | 2 | 1 | 0 | 3 | 2 | 3 | 2 | 3 | 2 | 2 | 11 | 3 | 1 | 6 | 1 | 227 | 1 | 0 | 43 | 0 | 36 | 3 | 1 | 2 | 3
1993-08-24,Commodore Ballroom,"Vancouver, British Columbia, ",Chalk Dust Torture | All Things Reconsidered | Bouncing Around the Room | It's Ice | Nellie Kane | Split Open and Melt | The Horse | Silent in the Morning | Uncle Pen | Maze | Golgi Apparatus | Llama | Horn | Ya Mar | Mike's Song | Ginseng Sullivan | Weekapaug Groove | Wilson | Rift | Suzy Greenberg | Hold Your Head Up | Cracklin' Rosie | Hold Your Head Up | Run Like an Antelope | Halley's Comet | Poor Heart | Sweet Adeline,1 | 4 | 1 | 1 | 0 | 1 | 2 | 2 | 0 | 1 | 5 | 0 | 0 | 6 | 3 | 1 | 3 | 2 | 0 | 2 | 0 | 12 | 0 | 1 | 12 | 0 | 4
1993-08-25,Paramount Theatre,"Seattle, WA","AC/DC Bag | Daniel Saw the Stone | Sample in a Jar | Sparkle | Foam | Ginseng Sullivan | Nellie Kane | Amazing Grace | Stash | Glide | Cavern | Buried Alive | Possum | Mound | My Friend, My Friend | Paul and Silas | You Enjoy Myself | Nothin' But A Nothin' | The Squirming Coil | Good Times Bad Times | Bold As Love | Rocky Top",8 | 1 | 5 | 1 | 1 | 0 | 0 | 1 | 1 | 5 | 2 | 1 | 1 | 4 | 2 | 5 | 2 | -1 | 2 | 4 | 9 | 4
1993-08-26,Arlene Schnitzer Concert Hall,"Portland, OR",Runaway Jim | Guelah Papyrus | Reba | Fee | Split Open and Melt | Esther | It's Ice | Harry Hood | Golgi Apparatus | Also Sprach Zarathustra | David Bowie | Lifeboy | Rift | Jesus Just Left Chicago | The Lizards | Hold Your Head Up | Nothin' But A Nothin' | Hold Your Head Up | Chalk Dust Torture | Free Bird,2 | 2 | 5 | 2 | 1 | 7 | 1 | 2 | 1 | 3 | 2 | 8 | 1 | 10 | 6 | 1 | 0 | 1 | 1 | 3
1993-08-28,"William Randolph Hearst Greek Theatre, University of California, Berkeley ","Berkeley, CA",Llama | Call Me the Breeze | Bouncing Around the Room | Cocaine | Foam | Crazy Mama | Ginseng Sullivan | After Midnight | Maze | Fluffhead | Stash | The Squirming Coil | Crimes of the Mind | Also Sprach Zarathustra | Rift | Run Like an Antelope | The Horse | Silent in the Morning | Sparkle | It's Ice | Big Ball Jam | Purple Rain | Hold Your Head Up | You Enjoy Myself | Oye Como Va | You Enjoy Myself | Contact | Chalk Dust Torture | Daniel Saw the Stone | Amazing Grace,2 | -1 | 2 | 15 | 1 | -1 | 1 | -1 | 2 | 5 | 1 | 1 | 12 | 0 | 0 | 2 | 2 | 2 | 1 | 0 | 6 | 4 | 0 | 1 | 170 | 1 | 12 | 0 | 1 | 1
1993-09-03,J C's Jazz Club,"Plattsburgh, NY",,
1993-11-11,The Roxy Theatre,"Los Angeles, CA",Pleas | Space Wrangler | Henry Parsons Died | Travelin' Light | Diner | Pilgrims | Hatfield | Walkin' | Holden Oversoul | Love Tractor | The Take Out | Porch Song | Can't Get High | Worry | Makes Sense To Me | Little Kin | Chilly Water | Fishwater | Pickin' Up The Pieces | Heroes | Mercy | Wondering | Mr. Soul | Get Up Early In The Morning | The Low Spark of High Heeled Boys | Time is Free | The Low Spark of High Heeled Boys,-1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | -1 | 202 | -1
1993-12-28,"Bender Arena, American University","Washington, DC","Peaches en Regalia | Poor Heart | Split Open and Melt | Esther | The Oh Kee Pa Ceremony | Suzy Greenberg | Ya Mar | It's Ice | Fee | Possum | Sample in a Jar | You Enjoy Myself | My Friend, My Friend | The Lizards | The Sloth | Fast Enough for You | Uncle Pen | Harry Hood | Highway to Hell | Memories | Golgi Apparatus",621 | 6 | 4 | 4 | 13 | 6 | 6 | 2 | 4 | 5 | 5 | 2 | 5 | 4 | 14 | 9 | 6 | 4 | 13 | 9 | 4
1993-12-29,New Haven Veterans Memorial Coliseum,"New Haven, CT",Runaway Jim | Peaches en Regalia | Foam | Glide | Divided Sky | Wilson | Sparkle | Stash | The Squirming Coil | Maze | Bouncing Around the Room | Fluffhead | Run Like an Antelope | Contact | Big Black Furry Creature from Mars | Walk Away | Big Ball Jam | Hold Your Head Up | If I Only Had a Brain | Hold Your Head Up | Sweet Adeline | Chalk Dust Torture | Nellie Kane | Cavern,5 | 0 | 3 | 6 | 9 | 7 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 3 | 18 | 13 | 3 | 3 | 8 | 3 | 7 | 3 | 6 | 6
1993-12-30,Cumberland County Civic Center,"Portland, ME",David Bowie | Weigh | The Curtain | Sample in a Jar | Paul and Silas | Colonel Forbin's Ascent | Fly Famous Mockingbird | Rift | Bathtub Gin | Free Bird | Also Sprach Zarathustra | Mike's Song | The Horse | Silent in the Morning | Punch You in the Eye | McGrupp and the Watchful Hosemasters | Weekapaug Groove | Purple Rain | Hold Your Head Up | Slave to the Traffic Light | Rocky Top | Good Times Bad Times,6 | 11 | 21 | 1 | 7 | 13 | 13 | 4 | 15 | 6 | 4 | 8 | 4 | 4 | 19 | 20 | 8 | 4 | 0 | 10 | 7 | 7
1993-12-31,Worcester Centrum Centre,"Worcester, MA",Llama | Guelah Papyrus | Stash | Ginseng Sullivan | Reba | Peaches en Regalia | I Didn't Know | Run Like an Antelope | Tweezer | Halley's Comet | Poor Heart | It's Ice | Fee | Possum | Lawn Boy | You Enjoy Myself | Auld Lang Syne | Down with Disease | Split Open and Melt | The Lizards | Sparkle | Suzy Greenberg | Hold Your Head Up | Cracklin' Rosie | Hold Your Head Up | Harry Hood | Tweezer Reprise | Golgi Apparatus | Amazing Grace,5 | 7 | 1 | 5 | 7 | 1 | 10 | 1 | 14 | 9 | 2 | 2 | 2 | 2 | 10 | 2 | 125 | -1 | 2 | 2 | 1 | 2 | 0 | 9 | 0 | 2 | 14 | 2 | 5
1994-01-07,The Attic,"Newton Centre, MA",Jezebel | Compared to What,-1 | 207
1994-01-13,Last Elm Cafe,"Burlington, VT",Jam | So What | Billie's Bounce | The Country Open | Caravan | Take the 'A' Train,12 | 673 | 42 | 42 | 16 | 15
1994-01-24,Granny Killianâs,"Portland, ME",Billie's Bounce | Jump Monk | Lullaby of Birdland | In a Sentimental Mood | Magilla | Take the 'A' Train | So What | Milestones in the Sunshine | Caravan | Scrapple from the Apple | Nardis | Au Privave | The Country Open | St. Thomas,0 | 43 | 256 | -1 | 43 | 0 | 0 | -1 | 0 | 45 | -1 | -1 | 0 | 44
1994-01-28,J C's Jazz Club,"Plattsburgh, NY",,
1994-01-30,Granny Killianâs,"Portland, ME",Tightrope Walker | Francella | Family Picture | Self | Trials and Tribulations | Revolution's Over | T.V. Show | Dahlia | Sexy Sadie | Lucy in the Subway | Wooden Box | Bitchin' Again | Ordinary Day | Crimes of the Mind,-1 | -1 | 299 | 153 | -1 | 474 | 299 | 474 | -1 | -1 | -1 | 332 | -1 | 10
1994-01-31,Club Babyhead,"Providence, RI",Tightrope Walker | Francella | Bitchin' Again | Self | Family Picture | Trials and Tribulations | Revolution's Over | T.V. Show | Sexy Sadie | Shotgun Sally | Pork That Sow | Wooden Box | Dahlia | Ordinary Day | Living After Midnight | Crimes of the Mind | Lucy in the Subway,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | -1 | 0 | 0 | 0 | -1 | 0 | 0
1994-02-01,Iron Horse Music Hall,"Northampton, MA",Intro | Tightrope Walker | Bitchin' Again | Francella | Family Picture | Trials and Tribulations | Revolution's Over | Behind Closed Doors | T.V. Show | Sexy Sadie | Wooden Box | Diamond Girl,-1 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | 132
1994-02-02,Club Metronome,"Burlington, VT",Shake Everything You Got | Chameleon,-1 | -1
1994-02-03,The Paradise,"Boston, MA",Fat Albert Theme | Tightrope Walker | Self | Family Picture | Trials and Tribulations | Revolution's Over | Home Is Where You Are | T.V. Show | Respect | Ordinary Day | Living After Midnight | Crimes of the Mind | I Got You (I Feel Good) | Lucy in the Subway,-1 | 1 | 2 | 1 | 1 | 1 | -1 | 1 | -1 | 2 | 2 | 2 | -1 | 2
1994-02-04,JC Dobbs,"Philadelphia, PA",Fat Albert Theme | Tightrope Walker | Francella | Bitchin' Again | Diamond Girl | Dahlia | Self | Family Picture | Trials and Tribulations | Revolution's Over | Sexy Sadie | Dinner and a Movie | T.V. Show | Respect | Living After Midnight | Crimes of the Mind | I Got You (I Feel Good) | Lucy in the Subway,0 | 0 | 2 | 2 | 2 | 3 | 0 | 0 | 0 | 0 | 2 | 29 | 0 | 0 | 0 | 0 | 0 | 0
1994-02-05,The Wetlands Preserve,"New York, NY",Fat Albert Theme | Tightrope Walker | Self | Bitchin' Again | T.V. Show | Family Picture | Trials and Tribulations | Revolution's Over | Sexy Sadie | Ain't No Free | Francella | Home Is Where You Are | Dahlia | Lucy in the Subway | Diamond Girl | Living After Midnight | Crimes of the Mind | I Got You (I Feel Good) | Ordinary Day,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | -1 | 0 | 1 | 0 | 0 | 0 | 0 | 0 | 0 | 1
1994-02-07,Nectar's,"Burlington, VT",Fat Albert Theme | Tightrope Walker | Self | Lucy in the Subway | Mr. Siegal | Bitchin' Again | Dahlia | Revolution's Over | Diamond Girl | Shotgun Sally | I Got You (I Feel Good) | Ordinary Day | Wooden Box | Home Is Where You Are | Family Picture | Trials and Tribulations | Crimes of the Mind | Chameleon | Francella | Do You Know What I Mean? | Teenie Weenie Bit of Your Love | I'm from Syracuse | Sexy Sadie | T.V. Show | Living After Midnight,0 | 0 | 0 | 0 | -1 | 0 | 0 | 0 | 0 | 5 | 0 | 0 | 4 | 0 | 0 | 0 | 0 | 3 | 0 | -1 | -1 | -1 | 0 | 0 | 0
1994-02-08,Nectar's,"Burlington, VT",Fat Albert Theme | Shotgun Sally | Diamond Girl | T.V. Show | Respect | Self | Chameleon | Wooden Box | Bitchin' Again | Family Picture | Trials and Tribulations | Revolution's Over | Behind Closed Doors | Mr. Siegal | Crimes of the Mind,0 | 0 | 0 | 0 | 2 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 5 | 0 | 0
1994-02-15,Club Toast,"Burlington, VT",Stop the Revolution | Lila | Do What You Want | Question Air | Who Do We Think We Are? | Freaks on Fire | Tezz | Underground People | Cherokee | Donât Let It Stop Ya | 7th Revelation | Fish Reading | Elvin Jones | Feel Good | Big Chief | Fiyo on the Bayou | Live Wire | Ma Bitch | Power of Silence,165 | -1 | 165 | 286 | -1 | 165 | 286 | 131 | -1 | -1 | -1 | -1 | 165 | -1 | 131 | -1 | -1 | -1 | -1
1994-02-16,"Alliot Hall, St. Michael's College","Colchester, VT","Scrapple from the Apple | Jump Monk | In a Sentimental Mood | Milestones in the Sunshine | So What | Take the 'A' Train | Bewitched, Bothered and Bewildered | Billie's Bounce | The Country Open | St. Thomas",11 | 11 | 11 | 11 | 11 | 11 | 55 | 11 | 11 | 11
1994-02-17,The Paradise,"Boston, MA",Underground People | Zero | Freaks on Fire | Do What You Want | 7th Revelation | Jam | Don't Let it Stop Ya | Cherokee | Question Air | Tezz Jam | What Makes You Feel Good | Elvin Jones | Who Do? We Do! | Confessions of a Man,1 | 133 | 1 | 1 | 1 | 13 | 167 | 1 | 1 | -1 | -1 | 1 | 547 | 133
1994-02-23,"Gamut Room, Middlebury College","Middlebury, VT","Bags' Groove | Jump Monk | Bewitched, Bothered and Bewildered | Blues for Ernie | Take the 'A' Train | Milestones in the Sunshine | So What | Magilla | In a Sentimental Mood | The Country Open | St. Thomas",-1 | 1 | 1 | -1 | 1 | 1 | 1 | 13 | 1 | 1 | 1
1994-02-24,Last Elm Cafe,"Burlington, VT","Jump Monk | Magilla | Bewitched, Bothered and Bewildered | Caravan | Milestones in the Sunshine",0 | 0 | 0 | 14 | 0
1994-02-25,J C's Jazz Club,"Plattsburgh, NY",,
1994-03-04,Club Metronome,"Burlington, VT",,
1994-03-05,"Panarchy House, Dartmouth College","Hanover, NH",,
1994-03-08,Club Toast,"Burlington, VT",Carefree | Enlightenment | Champions | Calling Planet Earth | Seven for Neon | Jam | Shadow World | Neverness | Earthrite,-1 | -1 | -1 | -1 | -1 | 5 | -1 | -1 | -1
1994-03-09,The Paradise,"Boston, MA",Plain or Peanut | Holden Oversoul | Payday | Love Tractor | Time Flack | No Egos Underwater | Fixin' to Die | No Reason to Complain | Time Is Free | Two Truckloads | Compared to What? | Salty Dog | Basically Frightened | Elevator to the Moon | Trondossa | Yield Not To Temptation | Zambi | Space Is the Place | Working on the Building,-1 | 26 | 229 | 26 | 229 | -1 | -1 | -1 | -1 | -1 | 278 | 278 | 229 | 229 | 229 | -1 | 229 | -1 | -1
1994-03-09,"Ira Allen Chapel, University of Vermont","Burlington, VT",Plain or Peanut | Holden Oversoul | Payday | Love Tractor | Time Flack | No Egos Underwater | Fixin' to Die | No Reason to Complain | Time Is Free | Two Truckloads | Compared to What? | Salty Dog | Basically Frightened | Elevator to the Moon | Trondossa | Yield Not To Temptation | Zambi | Space Is the Place | Working on the Building,0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0 | 0
1994-03-11,Club Metronome,"Burlington, VT",Plain or Peanut | Yield Not To Temptation | Time Flack | Time Is Free | No Reason to Complain | Salty Dog | Payday | Tuxedo Junction | Basically Frightened | Zambi | Space is the Place | Trondossa | No Egos Underwater | Two Truckloads | Working On a Building | Jam | Elevator to the Moon,0 | 0 | 0 | 0 | 0 | 0 | 0 | 231 | 0 | 0 | 231 | 0 | 0 | 0 | 280 | 2 | 0
1994-03-13,Lyndon State College,"Lyndonville, VT",No Egos Underwater | Shoeless Joe | Salty Dog | Two Truckloads | Yield Not to Temptation | Compared to What | Payday | Working on a Building | Basically Frightened | Fixin' to Die | Time Flack | Plain or Peanut | Jack the Rabbit,0 | 232 | 0 | 0 | 232 | 24 | 0 | 232 | 0 | 1 | 0 | 0 | 232
1994-04-04,The Flynn Theatre,"Burlington, VT",Divided Sky | Sample in a Jar | Scent of a Mule | Maze | Fee | Reba | Horn | It's Ice | Possum | Down with Disease | If I Could | Buried Alive | The Landlady | Julius | Magilla | Split Open and Melt | Wolfman's Brother | I Wan'na Be Like You | The Oh Kee Pa Ceremony | Suzy Greenberg | Harry Hood | Cavern,28 | 27 | -1 | 28 | 26 | 26 | 36 | 26 | 26 | 26 | -1 | 35 | 37 | -1 | 8 | 26 | -1 | -1 | 29 | 26 | 26 | 28
1994-04-05,The Metropolis,"MontrÃ©al, QuÃ©bec, ",Runaway Jim | Foam | Fluffhead | Glide | Julius | Bouncing Around the Room | Rift | AC/DC Bag | Peaches en Regalia | Ya Mar | Tweezer | If I Could | You Enjoy Myself | I Wan'na Be Like You | Hold Your Head Up | Chalk Dust Torture | Amazing Grace | Nellie Kane | Golgi Apparatus,29 | 29 | 29 | 29 | 0 | 29 | 28 | 36 | 27 | 30 | 27 | 0 | 27 | 0 | 27 | 29 | 27 | 29 | 27
1994-04-06,Concert Hall,"Toronto, Ontario, ",Llama | Guelah Papyrus | Poor Heart | Stash | The Lizards | Sample in a Jar | Scent of a Mule | Fee | Run Like an Antelope | The Curtain | Down with Disease | Wolfman's Brother | Sparkle | Mike's Song | Lifeboy | Weekapaug Groove | The Squirming Coil | Cavern | Ginseng Sullivan | Nellie Kane | Sweet Adeline,28 | 28 | 28 | 28 | 28 | 1 | 1 | 1 | 28 | 29 | 1 | 1 | 28 | 29 | 36 | 29 | 30 | 1 | 28 | 0 | 30
