date,venue,location,setlist,gaps,artist,artistid,cancelled
1993-03-03,Tipitina's,"New Orleans, LA",Rift | Foam | Bouncing Around the Room | Maze | Guelah Papyrus | Paul and Silas | Sample in a Jar | Runaway Jim | Lawn Boy | Cavern | Axilla | The Curtain | Split Open and Melt | Mound | Mike's Song | I Am Hydrogen | Weekapaug Groove | Glide | My Sweet One | Fast Enough for You | Hold Your Head Up | Terrapin | Hold Your Head Up | The Squirming Coil | Sweet Adeline | Fire,1 | 2 | 1 | 1 | 1 | 2 | 1 | 2 | 1 | 2 | 4 | 1 | 2 | 2 | 1 | 1 | 1 | 2 | 4 | 3 | 0 | 1 | 0 | 2 | 2 | 5,Phish,1,0
1993-03-05,Deep Ellum Live,"Dallas, TX",Buried Alive | Poor Heart | Cavern | Foam | The Sloth | Rift | Stash | Sparkle | It's Ice | I Didn't Know | Possum | The Landlady | Chalk Dust Torture | Guelah Papyrus | Uncle Pen | Mike's Song | I Am Hydrogen | Weekapaug Groove | Jesus Just Left Chicago | My Sweet One | Big Ball Jam | Hold Your Head Up | Love You | Hold Your Head Up | The Squirming Coil | Amazing Grace | Good Times Bad Times,1 | 1 | 0 | 0 | 8 | 0 | 1 | 1 | 1 | 1 | 5 | 11 | 1 | 0 | 1 | 0 | 0 | 0 | 155 | 0 | 2 | 0 | 1 | 0 | 0 | 1 | 4,Phish,1,0
1993-03-06,Liberty Lunch,"Austin, TX",Llama | Horn | The Curtain | Split Open and Melt | Mound | Punch You in the Eye | Bouncing Around the Room | Maze | Golgi Apparatus | Runaway Jim | Rift | Tweezer | Reba | Paul and Silas | Big Ball Jam | Fast Enough for You | You Enjoy Myself | Hold Your Head Up | Cracklin' Rosie | Hold Your Head Up | Big Black Furry Creature from Mars | Sweet Adeline | Poor Heart | Tweezer Reprise,2 | 4 | 1 | 1 | 1 | 3 | 1 | 1 | 2 | 1 | 0 | 2 | 2 | 1 | 0 | 1 | 2 | 0 | 8 | 0 | 5 | 1 | 0 | 2,Phish,1,0
1993-03-08,Sweeney Center,"Santa Fe, NM","Golgi Apparatus | Rift | Guelah Papyrus | The Oh Kee Pa Ceremony | Llama | Colonel Forbin's Ascent | Fly Famous Mockingbird | How High the Moon | Fly Famous Mockingbird | Sparkle | It's Ice | Glide | David Bowie | Poor Heart | Cavern | Uncle Pen | Stash | Big Ball Jam | My Friend, My Friend | Kung | You Enjoy Myself | The Lizards | Amazing Grace | Love You | Hold Your Head Up | Chalk Dust Torture",0 | 0 | 1 | 8 | 0 | 6 | 6 | 353 | 6 | 1 | 1 | 2 | 3 | 0 | 1 | 1 | 1 | 0 | 3 | 10 | 0 | 3 | 1 | 1 | 0 | 1,Phish,1,0
1993-03-09,Pike's Peak Center,"Colorado Springs, CO",Runaway Jim | Foam | Bouncing Around the Room | Maze | Esther | Divided Sky | Glide | Punch You in the Eye | I Didn't Know | Run Like an Antelope | Axilla | Rift | Tweezer | Reba | Lawn Boy | Mike's Song | I Am Hydrogen | Weekapaug Groove | The Horse | Silent in the Morning | Big Ball Jam | Hold Your Head Up | Terrapin | Hold Your Head Up | I Walk the Line | The Squirming Coil | Tweezer Reprise | Amazing Grace | Rocky Top,1 | 2 | 1 | 1 | 10 | 6 | 0 | 1 | 2 | 5 | 3 | 0 | 1 | 1 | 3 | 2 | 2 | 2 | 4 | 4 | 0 | 0 | 3 | 0 | 19 | 2 | 1 | 0 | 5,Phish,1,0
1993-03-12,Dobson Arena,"Vail, CO","Buried Alive | Poor Heart | Cavern | Possum | Guelah Papyrus | Rift | Stash | Fluffhead | The Horse | Silent in the Morning | David Bowie | AC/DC Bag | My Friend, My Friend | Sparkle | You Enjoy Myself | Mound | Big Ball Jam | Chalk Dust Torture | Hold Your Head Up | Lengthwise | Hold Your Head Up | Harry Hood | Golgi Apparatus | Sweet Adeline | Carolina | Rocky Top",3 | 1 | 1 | 3 | 1 | 0 | 1 | 7 | 0 | 0 | 1 | 13 | 1 | 1 | 1 | 2 | 0 | 1 | 0 | 7 | 0 | 5 | 1 | 2 | 15 | 0,Phish,1,0
1993-03-13,"Balch Fieldhouse, University of Colorado","Boulder, CO",The Landlady | Funky Bitch | Bouncing Around the Room | Maze | Fee | All Things Reconsidered | Split Open and Melt | Contact | Llama | Wilson | Run Like an Antelope | Suzy Greenberg | Tweezer | The Lizards | It's Ice | Glide | Uncle Pen | Big Ball Jam | Mike's Song | I Am Hydrogen | Weekapaug Groove | Fast Enough for You | Hold Your Head Up | Love You | Hold Your Head Up | Tweezer Reprise | My Sweet One | Amazing Grace | Big Black Furry Creature from Mars,4 | 14 | 1 | 1 | 6 | 6 | 3 | 17 | 2 | 9 | 1 | 9 | 1 | 2 | 2 | 1 | 2 | 0 | 1 | 1 | 1 | 3 | 0 | 2 | 0 | 1 | 4 | 1 | 3,Phish,1,0
1993-03-14,"Paul Wright Gym, Western State College","Gunnison, CO",Loving Cup | Foam | Guelah Papyrus | Sparkle | Stash | Paul and Silas | Sample in a Jar | Reba | Punch You in the Eye | Runaway Jim | Halley's Comet | David Bowie | The Ballad of Curtis Loew | You Enjoy Myself | Spooky | You Enjoy Myself | Lifeboy | Rift | Big Ball Jam | The Great Gig in the Sky | Hold Your Head Up | The Squirming Coil | Memories | Sweet Adeline | Golgi Apparatus,9 | 2 | 1 | 1 | 1 | 4 | 6 | 2 | 2 | 2 | 488 | 1 | 309 | 1 | -1 | 1 | 25 | 1 | 0 | -1 | 0 | 2 | 16 | 1 | 1,Phish,1,0
1993-03-16,Celebrity Theatre,"Phoenix, AZ","Sweet Adeline | Buried Alive | Poor Heart | It's Ice | Fee | Maze | I Didn't Know | Divided Sky | Hold Your Head Up | You Gotta See Mama Every Night | McGrupp and the Watchful Hosemasters | Cavern | My Friend, My Friend | The Curtain | Tweezer | Sweet Emotion | Tweezer | Bathtub Gin | Esther | Secret Language Instructions | Esther | Chalk Dust Torture | You Enjoy Myself | Hold Your Head Up | Bike | Lengthwise | Bike | Hold Your Head Up | Lawn Boy | Llama | Amazing Grace | Sparkle | Tweezer Reprise",0 | 2 | 2 | 1 | 1 | 1 | 3 | 3 | 0 | -1 | 49 | 2 | 2 | 5 | 1 | -1 | 1 | 14 | 3 | 13 | 3 | 2 | 0 | 0 | 19 | 2 | 19 | 0 | 3 | 1 | 1 | 0 | 1,Phish,1,0
1993-03-17,The Palace,"Hollywood, CA",The Landlady | Runaway Jim | Foam | Bouncing Around the Room | Stash | Amazing Grace | Paul and Silas | It's Ice | The Oh Kee Pa Ceremony | Suzy Greenberg | Run Like an Antelope | Axilla | Glide | Reba | Jesus Just Left Chicago | Mound | Mike's Song | I Am Hydrogen | Weekapaug Groove | The Horse | Silent in the Morning | Hold Your Head Up | The Great Gig in the Sky | Hold Your Head Up | Golgi Apparatus | Sweet Adeline | Rocky Top,2 | 1 | 1 | 2 | 1 | 0 | 1 | 0 | 5 | 2 | 2 | 4 | 2 | 1 | 7 | 3 | 2 | 2 | 2 | 3 | 3 | 0 | 1 | 0 | 1 | 0 | 3,Phish,1,0
1993-03-18,The Palace,"Hollywood, CA","Chalk Dust Torture | Guelah Papyrus | Rift | Fee | Maze | Colonel Forbin's Ascent | Fly Famous Mockingbird | Sparkle | Horn | I Didn't Know | David Bowie | My Friend, My Friend | Poor Heart | Split Open and Melt | Tela | You Enjoy Myself | Uncle Pen | Big Ball Jam | Hold Your Head Up | If I Only Had a Brain | Hold Your Head Up | The Squirming Coil | Cavern | Good Times Bad Times",1 | 2 | 2 | 1 | 1 | 6 | 6 | 1 | 7 | 1 | 2 | 1 | 1 | 3 | 25 | 1 | 3 | 2 | 0 | 13 | 0 | 2 | 1 | 8,Phish,1,0
1993-03-19,The Greek Theatre,"Redlands, CA",Suzy Greenberg | Llama | Foam | Bouncing Around the Room | Rift | Stash | Fluffhead | Cavern | Run Like an Antelope | Runaway Jim | It's Ice | Uncle Pen | Sample in a Jar | The Lizards | Mike's Song | I Am Hydrogen | Weekapaug Groove | Hold Your Head Up | Love You | Hold Your Head Up | Golgi Apparatus | Amazing Grace | Chalk Dust Torture,1 | 2 | 1 | 1 | 0 | 1 | 5 | 0 | 1 | 1 | 1 | 0 | 3 | 4 | 1 | 1 | 1 | 0 | 4 | 0 | 1 | 1 | 0,Phish,1,0
1993-03-21,Ventura Theatre,"Ventura, CA","Maze | Sparkle | The Sloth | Divided Sky | Esther | All Things Reconsidered | Split Open and Melt | Poor Heart | Punch You in the Eye | Lawn Boy | Possum | Loving Cup | My Friend, My Friend | Rift | Tweezer | Ya Mar | Llama | You Enjoy Myself | My Sweet One | Big Ball Jam | Hold Your Head Up | Cracklin' Rosie | Hold Your Head Up | Harry Hood | Cavern | Sleeping Monkey | Sweet Adeline | Tweezer Reprise",1 | 1 | 10 | 3 | 3 | 5 | 1 | 1 | 4 | 3 | 6 | 4 | 1 | 0 | 3 | 13 | 0 | 1 | 5 | 1 | 0 | 9 | 0 | 6 | 0 | 13 | 2 | 3,Phish,1,0
1993-03-22,Crest Theatre,"Sacramento, CA",Chalk Dust Torture | Guelah Papyrus | Uncle Pen | Stash | Bouncing Around the Room | Rift | Weigh | Reba | Sparkle | David Bowie | Golgi Apparatus | It's Ice | The Lizards | Tela | Wilson | AC/DC Bag | Colonel Forbin's Ascent | Fly Famous Mockingbird | The Sloth | McGrupp and the Watchful Hosemasters | Mike's Song | I Am Hydrogen | Weekapaug Groove | Amazing Grace | Fire,1 | 2 | 1 | 1 | 1 | 0 | 20 | 3 | 0 | 2 | 1 | 1 | 1 | 2 | 6 | 7 | 2 | 2 | 0 | 4 | 1 | 1 | 1 | 1 | 12,Phish,1,0
1993-03-24,Luther Burbank Center for the Arts,"Santa Rosa, CA",Llama | Foam | Fee | Poor Heart | Maze | I Didn't Know | Sample in a Jar | All Things Reconsidered | Runaway Jim | Amazing Grace | Cavern | The Landlady | Split Open and Melt | Sparkle | Tweezer | Mound | Big Ball Jam | Fast Enough for You | You Enjoy Myself | The Horse | Silent in the Morning | Hold Your Head Up | The Prison Joke | Hold Your Head Up | Terrapin | Hold Your Head Up | Good Times Bad Times | Carolina | The Squirming Coil,1 | 2 | 3 | 1 | 1 | 3 | 2 | 1 | 2 | 0 | 1 | 4 | 1 | 0 | 1 | 4 | 1 | 7 | 1 | 4 | 4 | 1 | 252 | 1 | 9 | 1 | 3 | 8 | 3,Phish,1,0
1993-03-25,Santa Cruz Civic Auditorium,"Santa Cruz, CA",Chalk Dust Torture | Guelah Papyrus | It's Ice | Possum | Bouncing Around the Room | Stash | Glide | Rift | Horn | Magilla | Run Like an Antelope | Axilla | The Curtain | Sample in a Jar | Uncle Pen | Colonel Forbin's Ascent | Fly Famous Mockingbird | Kung | Icculus | Fly Famous Mockingbird | The Wedge | Mike's Song | I Am Hydrogen | Weekapaug Groove | Golgi Apparatus | My Sweet One | Big Ball Jam | Sweet Adeline,1 | 1 | 1 | 2 | 1 | 1 | 5 | 1 | 4 | 115 | 3 | 5 | 6 | 0 | 1 | 1 | 1 | 11 | 120 | 1 | 19 | 1 | 1 | 1 | 1 | 2 | 0 | 2,Phish,1,0
1993-03-26,Warfield Theatre,"San Francisco, CA",Maze | Sparkle | Foam | Punch You in the Eye | Fee | All Things Reconsidered | Split Open and Melt | Fluffhead | Divided Sky | Cavern | Wilson | Runaway Jim | Mound | Tweezer | The Horse | Silent in the Morning | Big Ball Jam | You Enjoy Myself | The Oh Kee Pa Ceremony | Suzy Greenberg | The Great Gig in the Sky | Hold Your Head Up | Tweezer Reprise | Amazing Grace | Rocky Top,1 | 1 | 1 | 3 | 1 | 1 | 1 | 4 | 3 | 1 | 2 | 1 | 1 | 1 | 1 | 1 | 0 | 1 | 6 | 4 | 6 | 1 | 3 | 1 | 6,Phish,1,0
1993-03-27,Warfield Theatre,"San Francisco, CA","Llama | Guelah Papyrus | Rift | Stash | Reba | My Friend, My Friend | Uncle Pen | Sample in a Jar | I Didn't Know | David Bowie | Buried Alive | Halley's Comet | It's Ice | Bouncing Around the Room | Chalk Dust Torture | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | Mike's Song | I Am Hydrogen | Weekapaug Groove | Hold Your Head Up | Cracklin' Rosie | Hold Your Head Up | Poor Heart | Golgi Apparatus | The Squirming Coil | Carolina",2 | 1 | 1 | 1 | 3 | 4 | 1 | 1 | 2 | 3 | 8 | 9 | 1 | 1 | 1 | 37 | 37 | 37 | 1 | 1 | 1 | 0 | 4 | 0 | 2 | 1 | 2 | 2,Phish,1,0
1993-03-28,"East Gym, Humboldt State University","Arcata, CA",The Landlady | Funky Bitch | Sparkle | Split Open and Melt | The Lizards | The Sloth | Maze | Fee | It's Ice | Lawn Boy | Run Like an Antelope | Walk Away | Runaway Jim | Mound | Bathtub Gin | Big Ball Jam | You Enjoy Myself | My Life As a Pez | You Enjoy Myself | Paul and Silas | Hold Your Head Up | Love You | Hold Your Head Up | Possum | Contact | Big Black Furry Creature from Mars,3 | 11 | 1 | 1 | 4 | 4 | 1 | 1 | 0 | 5 | 2 | 25 | 1 | 1 | 9 | 1 | 1 | -1 | 1 | 8 | 0 | 6 | 0 | 2 | 11 | 11,Phish,1,0
1993-03-30,Hilton Ballroom,"Eugene, OR","Buried Alive | Poor Heart | All Things Reconsidered | Golgi Apparatus | My Friend, My Friend | Llama | Esther | Stash | Glide | Divided Sky | Cavern | Loving Cup | Rift | Tweezer | Lifeboy | Big Ball Jam | Weigh | Mike's Song | I Am Hydrogen | Weekapaug Groove | Psycho Killer | Weekapaug Groove | The Horse | Silent in the Morning | Hold Your Head Up | If I Only Had a Brain | Hold Your Head Up | Tweezer Reprise | My Sweet One | Amazing Grace",1 | 1 | 2 | 1 | 1 | 1 | 6 | 1 | 3 | 2 | 2 | 6 | 1 | 2 | 11 | 0 | 5 | 1 | 1 | 1 | -1 | 1 | 2 | 2 | 0 | 8 | 0 | 2 | 3 | 2,Phish,1,0
1993-03-31,Roseland Theater,"Portland, OR",Runaway Jim | Foam | Sparkle | Split Open and Melt | Mound | Punch You in the Eye | Sample in a Jar | Reba | I Didn't Know | David Bowie | Lengthwise | Maze | Bouncing Around the Room | Uncle Pen | Harry Hood | Big Ball Jam | It's Ice | You Enjoy Myself | Harpua | She's So Cold | Harpua | Chalk Dust Torture | AC/DC Bag | Sweet Adeline,1 | 3 | 1 | 1 | 1 | 3 | 2 | 2 | 2 | 2 | 11 | 1 | 2 | 2 | 7 | 0 | 1 | 1 | 33 | -1 | 33 | 2 | 6 | 4,Phish,1,0
1993-04-01,Gov. Tom McCall Waterfront Park,"Portland, OR",Amazing Grace | I Didn't Know,1 | 0,Phish,1,0
1993-04-01,Roseland Theater,"Portland, OR","Llama | Guelah Papyrus | Rift | Stash | The Squirming Coil | My Friend, My Friend | Paul and Silas | Fluffhead | Lawn Boy | Run Like an Antelope | Axilla | The Curtain | Possum | Fee | Ya Mar | Tweezer | Poor Heart | Big Ball Jam | Hold Your Head Up | Terrapin | Hold Your Head Up | Cavern | Carolina | Tweezer Reprise",2 | 4 | 2 | 2 | 4 | 2 | 3 | 5 | 3 | 3 | 6 | 6 | 3 | 3 | 9 | 2 | 2 | 1 | 2 | 7 | 2 | 2 | 4 | 2,Phish,1,0
1993-04-02,Mt. Baker Theatre,"Bellingham, WA",Buried Alive | Poor Heart | Foam | Bouncing Around the Room | Divided Sky | I Didn't Know | It's Ice | Sparkle | Maze | Golgi Apparatus | Runaway Jim | Sample in a Jar | Uncle Pen | Llama | The Horse | Silent in the Morning | Mike's Song | I Am Hydrogen | Weekapaug Groove | The Lizards | Big Ball Jam | Hold Your Head Up | Bike | Hold Your Head Up | Chalk Dust Torture | Amazing Grace | Rocky Top,3 | 0 | 2 | 2 | 3 | 1 | 2 | 2 | 2 | 3 | 2 | 2 | 2 | 0 | 3 | 3 | 3 | 3 | 3 | 4 | 0 | 0 | 14 | 0 | 2 | 1 | 6,Phish,1,0
1993-04-03,86th Street Music Hall,"Vancouver, British Columbia, Canada","The Landlady | Rift | Guelah Papyrus | Sparkle | Split Open and Melt | The Squirming Coil | My Friend, My Friend | Reba | Horn | Run Like an Antelope | Suzy Greenberg | Stash | Mound | All Things Reconsidered | The Sloth | You Enjoy Myself | Jesus Just Left Chicago | My Sweet One | Hold Your Head Up | Love You | Hold Your Head Up | Cavern | Good Times Bad Times",5 | 1 | 1 | 0 | 3 | 1 | 1 | 3 | 8 | 1 | 7 | 1 | 3 | 4 | 5 | 3 | 14 | 4 | 0 | 5 | 0 | 1 | 9,Phish,1,0
1993-04-05,HUB Ballroom,"Seattle, WA",Llama | It's Ice | Fee | Maze | Fluffhead | Paul and Silas | Stash | Colonel Forbin's Ascent | Fly Famous Mockingbird | David Bowie | Axilla | Poor Heart | Caravan | Punch You in the Eye | Tweezer | Glide | You Enjoy Myself | Hold Your Head Up | Cracklin' Rosie | Hold Your Head Up | Tweezer Reprise | Carolina | Fire,1 | 1 | 2 | 1 | 2 | 2 | 0 | 9 | 9 | 4 | 2 | 1 | 229 | 4 | 2 | 5 | 0 | 0 | 7 | 0 | 2 | 2 | 11,Phish,1,0
1993-04-07,The Wang Center,"Boston, MA",Rift,1,Phish,1,1
1993-04-09,State Theatre,"Minneapolis, MN","Chalk Dust Torture | Sparkle | Guelah Papyrus | Stash | The Horse | Silent in the Morning | Maze | I Didn't Know | It's Ice | Divided Sky | Cavern | Buried Alive | Suzy Greenberg | All Things Reconsidered | Llama | Mound | My Friend, My Friend | You Enjoy Myself | My Sweet One | Big Ball Jam | Hold Your Head Up | Love You | Hold Your Head Up | Possum | Sweet Adeline | Golgi Apparatus",3 | 2 | 2 | 1 | 3 | 3 | 1 | 3 | 1 | 3 | 2 | 3 | 2 | 2 | 1 | 2 | 2 | 1 | 2 | 3 | 1 | 2 | 1 | 4 | 6 | 3,Phish,1,0
1993-04-10,Aragon Ballroom,"Chicago, IL","Runaway Jim | Weigh | Sparkle | Split Open and Melt | The Squirming Coil | My Friend, My Friend | Uncle Pen | Chalk Dust Torture | Lawn Boy | David Bowie | Lengthwise | Maze | Bouncing Around the Room | Rift | Glide | Big Ball Jam | Mike's Song | The Great Gig in the Sky | Weekapaug Groove | Funky Bitch | Help Me | Hoochie Coochie Man | Cavern | Amazing Grace | Good Times Bad Times",4 | 8 | 0 | 3 | 3 | 0 | 4 | 0 | 5 | 2 | 7 | 0 | 4 | 1 | 2 | 0 | 4 | 11 | 4 | 9 | -1 | -1 | 0 | 4 | 3,Phish,1,0
1993-04-12,"Iowa Memorial Union Main Lounge, University of Iowa","Iowa City, IA",Golgi Apparatus | Tube | Bouncing Around the Room | Poor Heart | Stash | The Horse | Silent in the Morning | Reba | Llama | Satin Doll | Run Like an Antelope | Dinner and a Movie | Tweezer | Fee | Paul and Silas | It's Ice | Big Ball Jam | You Enjoy Myself | Honky Tonk Women | You Enjoy Myself | Hold Your Head Up | Terrapin | Hold Your Head Up | Tweezer Reprise | Amazing Grace | Highway to Hell | Rocky Top,1 | 75 | 0 | 3 | 1 | 1 | 1 | 4 | 1 | 379 | 4 | 35 | 3 | 3 | 3 | 1 | 0 | 1 | -1 | 1 | 1 | 6 | 1 | 3 | 0 | 189 | 5,Phish,1,0
1993-04-13,Memorial Hall,"Kansas City, KS","Suzy Greenberg | Foam | Sparkle | Possum | Colonel Forbin's Ascent | Fly Famous Mockingbird | Chalk Dust Torture | Guelah Papyrus | Caravan | Cavern | My Friend, My Friend | Rift | The Sloth | Uncle Pen | Fast Enough for You | Big Ball Jam | Mike's Song | I Am Hydrogen | Weekapaug Groove | Hold Your Head Up | If I Only Had a Brain | Hold Your Head Up | The Squirming Coil | Bold As Love | Sweet Adeline",2 | 6 | 1 | 2 | 4 | 4 | 1 | 2 | 4 | 1 | 1 | 1 | 5 | 1 | 15 | 0 | 1 | 6 | 1 | 0 | 10 | 0 | 1 | 32 | 2,Phish,1,0
1993-04-14,American Theater,"St. Louis, MO",Buried Alive | Poor Heart | Maze | Bouncing Around the Room | It's Ice | Stash | Kung | Stash | Kung | The Horse | Silent in the Morning | Divided Sky | I Didn't Know | Golgi Apparatus | AC/DC Bag | My Sweet One | Tweezer | Mound | Big Ball Jam | You Enjoy Myself | Spooky | You Enjoy Myself | Harpua | Runaway Jim | Lengthwise | Contact | Tweezer Reprise,3 | 1 | 2 | 1 | 1 | 1 | 15 | 1 | 15 | 1 | 1 | 3 | 3 | 1 | 10 | 3 | 1 | 3 | 0 | 1 | 23 | 1 | 10 | 2 | 2 | 12 | 1,Phish,1,0
1993-04-16,The Macauley Theater,"Louisville, KY",Chalk Dust Torture | Guelah Papyrus | Sparkle | Split Open and Melt | Esther | Llama | Sample in a Jar | Rift | Harry Hood | Cavern | Axilla | The Curtain | Maze | The Lizards | Mike's Song | I Am Hydrogen | Weekapaug Groove | The Horse | Silent in the Morning | Uncle Pen | Big Ball Jam | Hold Your Head Up | Bike | Hold Your Head Up | Highway to Hell | Gumbo | Amazing Grace,1 | 1 | 1 | 3 | 12 | 2 | 8 | 1 | 11 | 1 | 6 | 9 | 0 | 8 | 1 | 1 | 1 | 0 | 0 | 1 | 0 | 1 | 8 | 1 | 2 | 234 | 2,Phish,1,0
1993-04-17,Michigan Theater,"Ann Arbor, MI","Llama | Foam | Bouncing Around the Room | Stash | It's Ice | Glide | My Friend, My Friend | All Things Reconsidered | Golgi Apparatus | Run Like an Antelope | Wilson | Reba | The Landlady | Halley's Comet | You Enjoy Myself | Lifeboy | The Oh Kee Pa Ceremony | Suzy Greenberg | Hold Your Head Up | Cracklin' Rosie | Hold Your Head Up | Big Ball Jam | The Squirming Coil | Sweet Adeline | Big Black Furry Creature from Mars",0 | 2 | 1 | 1 | 1 | 4 | 2 | 5 | 1 | 3 | 16 | 3 | 8 | 15 | 1 | 13 | 16 | 2 | 0 | 7 | 0 | 0 | 2 | 2 | 14,Phish,1,0
1993-04-18,Michigan Theater,"Ann Arbor, MI",Rift | Guelah Papyrus | Split Open and Melt | Sparkle | Divided Sky | Fee | Maze | Horn | I Didn't Know | Cavern | Poor Heart | Tweezer | The Horse | Silent in the Morning | Possum | Mound | Big Ball Jam | Mike's Song | Ya Mar | Walk Away | Hold Your Head Up | Love You | Hold Your Head Up | Tweezer Reprise | Amazing Grace | Rocky Top,1 | 1 | 1 | 1 | 2 | 4 | 1 | 9 | 2 | 1 | 2 | 2 | 1 | 1 | 3 | 2 | 0 | 1 | 11 | 15 | 0 | 6 | 0 | 2 | 1 | 4,Phish,1,0
1993-04-20,Newport Music Hall,"Columbus, OH","Runaway Jim | Weigh | Sparkle | Stash | Bouncing Around the Room | It's Ice | Glide | Uncle Pen | Lawn Boy | David Bowie | Chalk Dust Torture | Fluffhead | Sample in a Jar | Big Ball Jam | The Man Who Stepped Into Yesterday | Avenu Malkenu | The Man Who Stepped Into Yesterday | My Friend, My Friend | Llama | You Enjoy Myself | Hold Your Head Up | Whipping Post | Hold Your Head Up | Golgi Apparatus | Funky Bitch | Amazing Grace",3 | 6 | 0 | 1 | 1 | 1 | 1 | 2 | 6 | 6 | 2 | 9 | 2 | 0 | 17 | 17 | 17 | 1 | 1 | 1 | 0 | 69 | 0 | 1 | 6 | 0,Phish,1,0
1993-04-21,Newport Music Hall,"Columbus, OH",Buried Alive | Poor Heart | Foam | Guelah Papyrus | Maze | Colonel Forbin's Ascent | Fly Famous Mockingbird | Rift | Punch You in the Eye | I Didn't Know | Run Like an Antelope | Possum | Mound | Split Open and Melt | The Squirming Coil | The Horse | Silent in the Morning | Big Ball Jam | Mike's Song | The Great Gig in the Sky | Weekapaug Groove | Gumbo | Sweet Adeline | Cavern,4 | 1 | 2 | 1 | 1 | 5 | 5 | 1 | 10 | 1 | 2 | 1 | 1 | 1 | 2 | 1 | 1 | 0 | 1 | 7 | 3 | 3 | 2 | 1,Phish,1,0
1993-04-22,The Agora Theatre,"Cleveland, OH",Suzy Greenberg | Sparkle | It's Ice | Reba | Chalk Dust Torture | Esther | Stash | Fee | Rift | Golgi Apparatus | Llama | Bouncing Around the Room | All Things Reconsidered | Tweezer | The Lizards | Big Ball Jam | You Enjoy Myself | The Vibration of Life | You Enjoy Myself | Uncle Pen | Hold Your Head Up | Love You | Hold Your Head Up | Tweezer Reprise | AC/DC Bag | Amazing Grace,3 | 1 | 1 | 3 | 1 | 4 | 1 | 2 | 0 | 1 | 1 | 1 | 3 | 2 | 4 | 0 | 1 | 44 | 1 | 1 | 1 | 2 | 1 | 2 | 5 | 1,Phish,1,0
1993-04-23,"Cotterell Court, Reid Athletic Center, Colgate University","Hamilton, NY","Runaway Jim | Weigh | Sparkle | Split Open and Melt | Fluffhead | My Friend, My Friend | Divided Sky | Guelah Papyrus | Lawn Boy | Chalk Dust Torture | Golgi Apparatus | Maze | The Ballad of Curtis Loew | It's Ice | Paul and Silas | Big Ball Jam | Mike's Song | I Am Hydrogen | Weekapaug Groove | Hold Your Head Up | Lengthwise | Hold Your Head Up | The Squirming Coil | Highway to Hell | Fire",2 | 2 | 0 | 1 | 2 | 2 | 3 | 1 | 2 | 0 | 0 | 1 | 30 | 0 | 8 | 0 | 1 | 5 | 1 | 0 | 6 | 0 | 1 | 5 | 12,Phish,1,0
1993-04-24,"Cheel Arena, Clarkson University","Potsdam, NY",Chalk Dust Torture | Guelah Papyrus | Poor Heart | Stash | The Horse | Silent in the Morning | Rift | Caravan | When Something is Wrong with My Baby | Sparkle | Run Like an Antelope | Llama | Foam | Bathtub Gin | Dinner and a Movie | Mound | Big Ball Jam | You Enjoy Myself | Hold Your Head Up | Bike | Hold Your Head Up | Harry Hood | Cavern | Amazing Grace | Good Times Bad Times,0 | 0 | 2 | 1 | 2 | 2 | 1 | 8 | -1 | 0 | 2 | 1 | 2 | 20 | 9 | 2 | 0 | 1 | 0 | 6 | 0 | 6 | 2 | 1 | 10,Phish,1,0
1993-04-25,"Kuhl Gym, SUNY Geneseo","Geneseo, NY",The Landlady | Possum | Bouncing Around the Room | It's Ice | Glide | Runaway Jim | Colonel Forbin's Ascent | Fly Famous Mockingbird | Maze | I Didn't Know | Golgi Apparatus | Wilson | The Curtain | Tweezer | Contact | Uncle Pen | Big Ball Jam | Mike's Song | I Am Hydrogen | Weekapaug Groove | Fee | Tweezer Reprise | When Something is Wrong with My Baby | Carolina | Rocky Top,6 | 3 | 2 | 1 | 4 | 1 | 3 | 3 | 1 | 3 | 1 | 6 | 7 | 2 | 8 | 2 | 0 | 1 | 1 | 1 | 2 | 2 | 0 | 14 | 5,Phish,1,0
1993-04-27,Concert Hall,"Toronto, Ontario, Canada","Buried Alive | Poor Heart | Foam | Bouncing Around the Room | Rift | Stash | Guelah Papyrus | It's Ice | Sparkle | David Bowie | Golgi Apparatus | My Friend, My Friend | All Things Reconsidered | Maze | The Lizards | Big Ball Jam | You Enjoy Myself | The Horse | Silent in the Morning | Hold Your Head Up | Love You | Hold Your Head Up | Cavern | My Sweet One | Amazing Grace",4 | 1 | 1 | 0 | 1 | 1 | 1 | 0 | 1 | 5 | 0 | 2 | 3 | 0 | 3 | 0 | 1 | 1 | 1 | 1 | 3 | 1 | 1 | 9 | 1,Phish,1,0
